Time_(sec), Pressure_(bar)
0.000000e+00, 1.013250e+00
3.411142e-04, 1.013995e+00
4.158241e-04, 1.014724e+00
4.687436e-04, 1.015443e+00
5.123243e-04, 1.016184e+00
5.496793e-04, 1.016943e+00
5.808084e-04, 1.017677e+00
6.088246e-04, 1.018429e+00
6.337279e-04, 1.019180e+00
6.555183e-04, 1.019909e+00
6.773087e-04, 1.020715e+00
6.959861e-04, 1.021474e+00
7.146636e-04, 1.022305e+00
7.302282e-04, 1.023059e+00
7.457927e-04, 1.023874e+00
7.613573e-04, 1.024759e+00
7.738089e-04, 1.025522e+00
7.862606e-04, 1.026339e+00
7.987122e-04, 1.027216e+00
8.111639e-04, 1.028160e+00
8.205026e-04, 1.028916e+00
8.298414e-04, 1.029718e+00
8.391801e-04, 1.030568e+00
8.485188e-04, 1.031472e+00
8.578576e-04, 1.032435e+00
8.671963e-04, 1.033463e+00
8.756012e-04, 1.034449e+00
8.831655e-04, 1.035391e+00
8.899735e-04, 1.036286e+00
8.967814e-04, 1.037231e+00
9.035894e-04, 1.038229e+00
9.103973e-04, 1.039285e+00
9.149359e-04, 1.040023e+00
9.194746e-04, 1.040792e+00
9.240132e-04, 1.041593e+00
9.280979e-04, 1.042343e+00
9.319785e-04, 1.043082e+00
9.374929e-04, 1.044180e+00
9.411692e-04, 1.044946e+00
9.448455e-04, 1.045741e+00
9.485218e-04, 1.046566e+00
9.521980e-04, 1.047424e+00
9.558743e-04, 1.048316e+00
9.595506e-04, 1.049244e+00
9.632269e-04, 1.050211e+00
9.665356e-04, 1.051117e+00
9.696788e-04, 1.052011e+00
9.726566e-04, 1.052889e+00
9.756344e-04, 1.053799e+00
9.786122e-04, 1.054744e+00
9.815900e-04, 1.055725e+00
9.845677e-04, 1.056745e+00
9.875455e-04, 1.057807e+00
9.905233e-04, 1.058912e+00
9.932033e-04, 1.059946e+00
9.957494e-04, 1.060966e+00
9.981614e-04, 1.061968e+00
1.000573e-03, 1.063006e+00
1.002985e-03, 1.064083e+00
1.005397e-03, 1.065201e+00
1.007809e-03, 1.066363e+00
1.010221e-03, 1.067571e+00
1.012633e-03, 1.068828e+00
1.015045e-03, 1.070138e+00
1.017457e-03, 1.071503e+00
1.019628e-03, 1.072784e+00
1.021691e-03, 1.074048e+00
1.023644e-03, 1.075291e+00
1.025598e-03, 1.076582e+00
1.027552e-03, 1.077922e+00
1.029505e-03, 1.079316e+00
1.031459e-03, 1.080766e+00
1.033413e-03, 1.082277e+00
1.034390e-03, 1.083056e+00
1.035367e-03, 1.083852e+00
1.037125e-03, 1.085328e+00
1.038004e-03, 1.086088e+00
1.039587e-03, 1.087495e+00
1.041090e-03, 1.088881e+00
1.042514e-03, 1.090239e+00
1.043939e-03, 1.091645e+00
1.045363e-03, 1.093101e+00
1.046787e-03, 1.094610e+00
1.047499e-03, 1.095386e+00
1.048211e-03, 1.096176e+00
1.048924e-03, 1.096980e+00
1.049636e-03, 1.097800e+00
1.050348e-03, 1.098636e+00
1.051060e-03, 1.099488e+00
1.051772e-03, 1.100357e+00
1.052484e-03, 1.101243e+00
1.053196e-03, 1.102147e+00
1.053909e-03, 1.103070e+00
1.054621e-03, 1.104011e+00
1.055262e-03, 1.104875e+00
1.055903e-03, 1.105755e+00
1.056543e-03, 1.106653e+00
1.057184e-03, 1.107567e+00
1.057825e-03, 1.108500e+00
1.058466e-03, 1.109451e+00
1.059107e-03, 1.110421e+00
1.059748e-03, 1.111411e+00
1.060325e-03, 1.112319e+00
1.060902e-03, 1.113244e+00
1.061479e-03, 1.114187e+00
1.062055e-03, 1.115148e+00
1.062632e-03, 1.116127e+00
1.063209e-03, 1.117125e+00
1.063728e-03, 1.118041e+00
1.064247e-03, 1.118972e+00
1.064766e-03, 1.119921e+00
1.065234e-03, 1.120789e+00
1.065701e-03, 1.121672e+00
1.066168e-03, 1.122570e+00
1.066635e-03, 1.123483e+00
1.067103e-03, 1.124412e+00
1.067523e-03, 1.125261e+00
1.067944e-03, 1.126124e+00
1.068364e-03, 1.127000e+00
1.068785e-03, 1.127891e+00
1.069205e-03, 1.128795e+00
1.069626e-03, 1.129715e+00
1.070046e-03, 1.130649e+00
1.070467e-03, 1.131600e+00
1.070887e-03, 1.132566e+00
1.071308e-03, 1.133548e+00
1.071728e-03, 1.134547e+00
1.072149e-03, 1.135563e+00
1.072569e-03, 1.136597e+00
1.072990e-03, 1.137650e+00
1.073410e-03, 1.138721e+00
1.073831e-03, 1.139811e+00
1.074251e-03, 1.140921e+00
1.074630e-03, 1.141937e+00
1.075008e-03, 1.142971e+00
1.075387e-03, 1.144021e+00
1.075727e-03, 1.144982e+00
1.076068e-03, 1.145958e+00
1.076408e-03, 1.146949e+00
1.076715e-03, 1.147854e+00
1.077022e-03, 1.148772e+00
1.077328e-03, 1.149703e+00
1.077635e-03, 1.150648e+00
1.077941e-03, 1.151606e+00
1.078248e-03, 1.152579e+00
1.078554e-03, 1.153566e+00
1.078861e-03, 1.154568e+00
1.079167e-03, 1.155585e+00
1.079474e-03, 1.156618e+00
1.079780e-03, 1.157666e+00
1.080087e-03, 1.158731e+00
1.080394e-03, 1.159813e+00
1.080669e-03, 1.160801e+00
1.080945e-03, 1.161803e+00
1.081221e-03, 1.162820e+00
1.081470e-03, 1.163747e+00
1.081718e-03, 1.164687e+00
1.081966e-03, 1.165640e+00
1.082190e-03, 1.166508e+00
1.082413e-03, 1.167387e+00
1.082637e-03, 1.168277e+00
1.082860e-03, 1.169178e+00
1.083084e-03, 1.170090e+00
1.083307e-03, 1.171013e+00
1.083531e-03, 1.171948e+00
1.083754e-03, 1.172896e+00
1.083977e-03, 1.173855e+00
1.084201e-03, 1.174827e+00
1.084424e-03, 1.175811e+00
1.084648e-03, 1.176808e+00
1.084871e-03, 1.177819e+00
1.085095e-03, 1.178843e+00
1.085318e-03, 1.179881e+00
1.085542e-03, 1.180933e+00
1.085765e-03, 1.182000e+00
1.085989e-03, 1.183081e+00
1.086212e-03, 1.184178e+00
1.086436e-03, 1.185290e+00
1.086659e-03, 1.186417e+00
1.086883e-03, 1.187561e+00
1.087106e-03, 1.188722e+00
1.087330e-03, 1.189899e+00
1.087553e-03, 1.191094e+00
1.087777e-03, 1.192306e+00
1.088000e-03, 1.193537e+00
1.088224e-03, 1.194786e+00
1.088447e-03, 1.196054e+00
1.088670e-03, 1.197342e+00
1.088894e-03, 1.198650e+00
1.089117e-03, 1.199979e+00
1.089319e-03, 1.201193e+00
1.089520e-03, 1.202424e+00
1.089721e-03, 1.203674e+00
1.089922e-03, 1.204941e+00
1.090123e-03, 1.206228e+00
1.090324e-03, 1.207534e+00
1.090505e-03, 1.208726e+00
1.090686e-03, 1.209934e+00
1.090867e-03, 1.211159e+00
1.091030e-03, 1.212277e+00
1.091193e-03, 1.213408e+00
1.091356e-03, 1.214554e+00
1.091519e-03, 1.215715e+00
1.091682e-03, 1.216891e+00
1.091845e-03, 1.218082e+00
1.092008e-03, 1.219289e+00
1.092171e-03, 1.220512e+00
1.092333e-03, 1.221751e+00
1.092496e-03, 1.223008e+00
1.092659e-03, 1.224281e+00
1.092822e-03, 1.225573e+00
1.092985e-03, 1.226882e+00
1.093148e-03, 1.228209e+00
1.093311e-03, 1.229556e+00
1.093474e-03, 1.230922e+00
1.093637e-03, 1.232307e+00
1.093800e-03, 1.233713e+00
1.093963e-03, 1.235140e+00
1.094125e-03, 1.236588e+00
1.094272e-03, 1.237910e+00
1.094419e-03, 1.239250e+00
1.094565e-03, 1.240608e+00
1.094712e-03, 1.241986e+00
1.094859e-03, 1.243383e+00
1.094991e-03, 1.244657e+00
1.095123e-03, 1.245948e+00
1.095254e-03, 1.247255e+00
1.095386e-03, 1.248580e+00
1.095518e-03, 1.249922e+00
1.095650e-03, 1.251282e+00
1.095782e-03, 1.252660e+00
1.095914e-03, 1.254058e+00
1.096046e-03, 1.255474e+00
1.096178e-03, 1.256911e+00
1.096310e-03, 1.258367e+00
1.096442e-03, 1.259844e+00
1.096574e-03, 1.261343e+00
1.096693e-03, 1.262710e+00
1.096812e-03, 1.264094e+00
1.096930e-03, 1.265498e+00
1.097049e-03, 1.266920e+00
1.097168e-03, 1.268361e+00
1.097287e-03, 1.269822e+00
1.097405e-03, 1.271304e+00
1.097512e-03, 1.272654e+00
1.097619e-03, 1.274022e+00
1.097726e-03, 1.275407e+00
1.097833e-03, 1.276810e+00
1.097940e-03, 1.278232e+00
1.098047e-03, 1.279672e+00
1.098154e-03, 1.281131e+00
1.098261e-03, 1.282609e+00
1.098367e-03, 1.284108e+00
1.098474e-03, 1.285627e+00
1.098571e-03, 1.287012e+00
1.098667e-03, 1.288415e+00
1.098763e-03, 1.289835e+00
1.098859e-03, 1.291273e+00
1.098955e-03, 1.292730e+00
1.099052e-03, 1.294205e+00
1.099148e-03, 1.295700e+00
1.099234e-03, 1.297063e+00
1.099321e-03, 1.298442e+00
1.099407e-03, 1.299838e+00
1.099485e-03, 1.301108e+00
1.099563e-03, 1.302393e+00
1.099641e-03, 1.303692e+00
1.099719e-03, 1.305006e+00
1.099797e-03, 1.306335e+00
1.099875e-03, 1.307679e+00
1.099953e-03, 1.309039e+00
1.100031e-03, 1.310415e+00
1.100109e-03, 1.311807e+00
1.100187e-03, 1.313215e+00
1.100265e-03, 1.314641e+00
1.100342e-03, 1.316084e+00
1.100420e-03, 1.317544e+00
1.100498e-03, 1.319023e+00
1.100576e-03, 1.320520e+00
1.100654e-03, 1.322036e+00
1.100724e-03, 1.323417e+00
1.100794e-03, 1.324814e+00
1.100865e-03, 1.326227e+00
1.100935e-03, 1.327657e+00
1.101005e-03, 1.329103e+00
1.101075e-03, 1.330568e+00
1.101145e-03, 1.332049e+00
1.101208e-03, 1.333399e+00
1.101271e-03, 1.334763e+00
1.101334e-03, 1.336142e+00
1.101398e-03, 1.337537e+00
1.101461e-03, 1.338948e+00
1.101524e-03, 1.340375e+00
1.101587e-03, 1.341818e+00
1.101650e-03, 1.343279e+00
1.101713e-03, 1.344756e+00
1.101776e-03, 1.346252e+00
1.101839e-03, 1.347765e+00
1.101902e-03, 1.349297e+00
1.101966e-03, 1.350847e+00
1.102029e-03, 1.352417e+00
1.102092e-03, 1.354006e+00
1.102155e-03, 1.355615e+00
1.102218e-03, 1.357245e+00
1.102281e-03, 1.358896e+00
1.102344e-03, 1.360568e+00
1.102407e-03, 1.362262e+00
1.102471e-03, 1.363979e+00
1.102534e-03, 1.365719e+00
1.102597e-03, 1.367483e+00
1.102660e-03, 1.369270e+00
1.102723e-03, 1.371083e+00
1.102786e-03, 1.372921e+00
1.102849e-03, 1.374785e+00
1.102906e-03, 1.376485e+00
1.102963e-03, 1.378208e+00
1.103020e-03, 1.379954e+00
1.103076e-03, 1.381722e+00
1.103133e-03, 1.383515e+00
1.103190e-03, 1.385331e+00
1.103247e-03, 1.387173e+00
1.103304e-03, 1.389041e+00
1.103360e-03, 1.390934e+00
1.103417e-03, 1.392855e+00
1.103468e-03, 1.394607e+00
1.103520e-03, 1.396382e+00
1.103571e-03, 1.398180e+00
1.103622e-03, 1.400003e+00
1.103673e-03, 1.401849e+00
1.103724e-03, 1.403722e+00
1.103775e-03, 1.405619e+00
1.103826e-03, 1.407544e+00
1.103877e-03, 1.409495e+00
1.103928e-03, 1.411474e+00
1.103975e-03, 1.413280e+00
1.104021e-03, 1.415109e+00
1.104067e-03, 1.416963e+00
1.104113e-03, 1.418841e+00
1.104159e-03, 1.420744e+00
1.104205e-03, 1.422674e+00
1.104251e-03, 1.424630e+00
1.104297e-03, 1.426613e+00
1.104343e-03, 1.428624e+00
1.104389e-03, 1.430664e+00
1.104435e-03, 1.432733e+00
1.104476e-03, 1.434621e+00
1.104517e-03, 1.436534e+00
1.104559e-03, 1.438472e+00
1.104600e-03, 1.440437e+00
1.104642e-03, 1.442428e+00
1.104683e-03, 1.444447e+00
1.104724e-03, 1.446494e+00
1.104766e-03, 1.448570e+00
1.104807e-03, 1.450675e+00
1.104849e-03, 1.452811e+00
1.104890e-03, 1.454977e+00
1.104932e-03, 1.457175e+00
1.104969e-03, 1.459182e+00
1.105006e-03, 1.461215e+00
1.105043e-03, 1.463276e+00
1.105081e-03, 1.465366e+00
1.105118e-03, 1.467484e+00
1.105155e-03, 1.469632e+00
1.105192e-03, 1.471811e+00
1.105230e-03, 1.474021e+00
1.105267e-03, 1.476263e+00
1.105304e-03, 1.478538e+00
1.105338e-03, 1.480614e+00
1.105371e-03, 1.482717e+00
1.105405e-03, 1.484850e+00
1.105438e-03, 1.487011e+00
1.105472e-03, 1.489202e+00
1.105505e-03, 1.491424e+00
1.105539e-03, 1.493677e+00
1.105573e-03, 1.495962e+00
1.105606e-03, 1.498280e+00
1.105640e-03, 1.500632e+00
1.105673e-03, 1.503017e+00
1.105707e-03, 1.505438e+00
1.105740e-03, 1.507896e+00
1.105770e-03, 1.510139e+00
1.105801e-03, 1.512412e+00
1.105831e-03, 1.514717e+00
1.105861e-03, 1.517054e+00
1.105891e-03, 1.519424e+00
1.105921e-03, 1.521828e+00
1.105952e-03, 1.524265e+00
1.105982e-03, 1.526738e+00
1.106012e-03, 1.529247e+00
1.106042e-03, 1.531792e+00
1.106072e-03, 1.534375e+00
1.106103e-03, 1.536997e+00
1.106133e-03, 1.539658e+00
1.106163e-03, 1.542359e+00
1.106190e-03, 1.544825e+00
1.106217e-03, 1.547326e+00
1.106244e-03, 1.549861e+00
1.106272e-03, 1.552432e+00
1.106299e-03, 1.555039e+00
1.106326e-03, 1.557684e+00
1.106353e-03, 1.560367e+00
1.106380e-03, 1.563088e+00
1.106407e-03, 1.565849e+00
1.106435e-03, 1.568650e+00
1.106462e-03, 1.571493e+00
1.106489e-03, 1.574378e+00
1.106516e-03, 1.577306e+00
1.106543e-03, 1.580278e+00
1.106570e-03, 1.583295e+00
1.106598e-03, 1.586358e+00
1.106625e-03, 1.589467e+00
1.106652e-03, 1.592624e+00
1.106676e-03, 1.595507e+00
1.106701e-03, 1.598431e+00
1.106725e-03, 1.601395e+00
1.106750e-03, 1.604400e+00
1.106774e-03, 1.607448e+00
1.106799e-03, 1.610539e+00
1.106823e-03, 1.613674e+00
1.106848e-03, 1.616852e+00
1.106872e-03, 1.620076e+00
1.106896e-03, 1.623346e+00
1.106921e-03, 1.626662e+00
1.106945e-03, 1.630025e+00
1.106970e-03, 1.633436e+00
1.106994e-03, 1.636895e+00
1.107019e-03, 1.640402e+00
1.107043e-03, 1.643959e+00
1.107065e-03, 1.647203e+00
1.107085e-03, 1.650157e+00
1.107105e-03, 1.653145e+00
1.107125e-03, 1.656165e+00
1.107144e-03, 1.659220e+00
1.107162e-03, 1.661997e+00
1.107180e-03, 1.664802e+00
1.107198e-03, 1.667634e+00
1.107216e-03, 1.670493e+00
1.107234e-03, 1.673380e+00
1.107251e-03, 1.676294e+00
1.107269e-03, 1.679235e+00
1.107287e-03, 1.682203e+00
1.107305e-03, 1.685198e+00
1.107323e-03, 1.688220e+00
1.107341e-03, 1.691269e+00
1.107358e-03, 1.694343e+00
1.107376e-03, 1.697443e+00
1.107390e-03, 1.699938e+00
1.107405e-03, 1.702448e+00
1.107419e-03, 1.704975e+00
1.107433e-03, 1.707516e+00
1.107446e-03, 1.709817e+00
