Equation, ROP_H2
2O+M<=>O2+M, 0.000000e+00
O+H+M<=>OH+M, 0.000000e+00
O+H2<=>H+OH, -8.486695e-05
O+HO2<=>OH+O2, 0.000000e+00
O+H2O2<=>OH+HO2, 0.000000e+00
O+CH<=>H+CO, 0.000000e+00
O+CH2<=>H+HCO, 0.000000e+00
O+CH2(S)<=>H2+CO, 2.851723e-08
O+CH2(S)<=>H+HCO, 0.000000e+00
O+CH3<=>H+CH2O, 0.000000e+00
O+CH4<=>OH+CH3, 0.000000e+00
O+CO(+M)<=>CO2(+M), 0.000000e+00
O+HCO<=>OH+CO, 0.000000e+00
O+HCO<=>H+CO2, 0.000000e+00
O+CH2O<=>OH+HCO, 0.000000e+00
O+CH2OH<=>OH+CH2O, 0.000000e+00
O+CH3O<=>OH+CH2O, 0.000000e+00
O+CH3OH<=>OH+CH2OH, 0.000000e+00
O+CH3OH<=>OH+CH3O, 0.000000e+00
O+C2H<=>CH+CO, 0.000000e+00
O+C2H2<=>H+HCCO, 0.000000e+00
O+C2H2<=>OH+C2H, 0.000000e+00
O+C2H2<=>CO+CH2, 0.000000e+00
O+C2H3<=>H+CH2CO, 0.000000e+00
O+C2H4<=>CH3+HCO, 0.000000e+00
O+C2H5<=>CH3+CH2O, 0.000000e+00
O+C2H6<=>OH+C2H5, 0.000000e+00
O+HCCO<=>H+2CO, 0.000000e+00
O+CH2CO<=>OH+HCCO, 0.000000e+00
O+CH2CO<=>CH2+CO2, 0.000000e+00
O2+CO<=>O+CO2, 0.000000e+00
O2+CH2O<=>HO2+HCO, 0.000000e+00
H+O2+M<=>HO2+M, 0.000000e+00
H+2O2<=>HO2+O2, 0.000000e+00
H+O2+H2O<=>HO2+H2O, 0.000000e+00
H+O2+N2<=>HO2+N2, 0.000000e+00
H+O2+AR<=>HO2+AR, 0.000000e+00
H+O2<=>O+OH, 0.000000e+00
2H+M<=>H2+M, 1.199083e-07
2H+H2<=>2H2, 3.785954e-09
2H+H2O<=>H2+H2O, 1.328434e-07
2H+CO2<=>H2+CO2, 8.500038e-10
H+OH+M<=>H2O+M, 0.000000e+00
H+HO2<=>O+H2O, 0.000000e+00
H+HO2<=>O2+H2, 1.791480e-04
H+HO2<=>2OH, 0.000000e+00
H+H2O2<=>HO2+H2, 1.173000e-06
H+H2O2<=>OH+H2O, 0.000000e+00
H+CH<=>C+H2, 1.677904e-07
H+CH2(+M)<=>CH3(+M), 0.000000e+00
H+CH2(S)<=>CH+H2, 3.457571e-07
H+CH3(+M)<=>CH4(+M), 0.000000e+00
H+CH4<=>CH3+H2, 1.252006e-03
H+HCO(+M)<=>CH2O(+M), 0.000000e+00
H+HCO<=>H2+CO, 2.016246e-05
H+CH2O(+M)<=>CH2OH(+M), 0.000000e+00
H+CH2O(+M)<=>CH3O(+M), 0.000000e+00
H+CH2O<=>HCO+H2, 5.794701e-04
H+CH2OH(+M)<=>CH3OH(+M), 0.000000e+00
H+CH2OH<=>H2+CH2O, 4.711490e-07
H+CH2OH<=>OH+CH3, 0.000000e+00
H+CH2OH<=>CH2(S)+H2O, 0.000000e+00
H+CH3O(+M)<=>CH3OH(+M), 0.000000e+00
H+CH3O<=>H+CH2OH, 0.000000e+00
H+CH3O<=>H2+CH2O, 9.327644e-06
H+CH3O<=>OH+CH3, 0.000000e+00
H+CH3O<=>CH2(S)+H2O, 0.000000e+00
H+CH3OH<=>CH2OH+H2, 4.471969e-05
H+CH3OH<=>CH3O+H2, -8.506300e-06
H+C2H(+M)<=>C2H2(+M), 0.000000e+00
H+C2H2(+M)<=>C2H3(+M), 0.000000e+00
H+C2H3(+M)<=>C2H4(+M), 0.000000e+00
H+C2H3<=>H2+C2H2, 7.796802e-07
H+C2H4(+M)<=>C2H5(+M), 0.000000e+00
H+C2H4<=>C2H3+H2, 1.084941e-05
H+C2H5(+M)<=>C2H6(+M), 0.000000e+00
H+C2H5<=>H2+C2H4, 1.962161e-06
H+C2H6<=>C2H5+H2, 1.532194e-04
H+HCCO<=>CH2(S)+CO, 0.000000e+00
H+CH2CO<=>HCCO+H2, 5.350599e-06
H+CH2CO<=>CH3+CO, 0.000000e+00
H+HCCOH<=>H+CH2CO, 0.000000e+00
H2+CO(+M)<=>CH2O(+M), 4.280931e-10
OH+H2<=>H+H2O, -7.341819e-04
2OH(+M)<=>H2O2(+M), 0.000000e+00
2OH<=>O+H2O, 0.000000e+00
OH+HO2<=>O2+H2O, 0.000000e+00
OH+H2O2<=>HO2+H2O, 0.000000e+00
OH+H2O2<=>HO2+H2O, 0.000000e+00
OH+C<=>H+CO, 0.000000e+00
OH+CH<=>H+HCO, 0.000000e+00
OH+CH2<=>H+CH2O, 0.000000e+00
OH+CH2<=>CH+H2O, 0.000000e+00
OH+CH2(S)<=>H+CH2O, 0.000000e+00
OH+CH3(+M)<=>CH3OH(+M), 0.000000e+00
OH+CH3<=>CH2+H2O, 0.000000e+00
OH+CH3<=>CH2(S)+H2O, 0.000000e+00
OH+CH4<=>CH3+H2O, 0.000000e+00
OH+CO<=>H+CO2, 0.000000e+00
OH+HCO<=>H2O+CO, 0.000000e+00
OH+CH2O<=>HCO+H2O, 0.000000e+00
OH+CH2OH<=>H2O+CH2O, 0.000000e+00
OH+CH3O<=>H2O+CH2O, 0.000000e+00
OH+CH3OH<=>CH2OH+H2O, 0.000000e+00
OH+CH3OH<=>CH3O+H2O, 0.000000e+00
OH+C2H<=>H+HCCO, 0.000000e+00
OH+C2H2<=>H+CH2CO, 0.000000e+00
OH+C2H2<=>H+HCCOH, 0.000000e+00
OH+C2H2<=>C2H+H2O, 0.000000e+00
OH+C2H2<=>CH3+CO, 0.000000e+00
OH+C2H3<=>H2O+C2H2, 0.000000e+00
OH+C2H4<=>C2H3+H2O, 0.000000e+00
OH+C2H6<=>C2H5+H2O, 0.000000e+00
OH+CH2CO<=>HCCO+H2O, 0.000000e+00
2HO2<=>O2+H2O2, 0.000000e+00
2HO2<=>O2+H2O2, 0.000000e+00
HO2+CH2<=>OH+CH2O, 0.000000e+00
HO2+CH3<=>O2+CH4, 0.000000e+00
HO2+CH3<=>OH+CH3O, 0.000000e+00
HO2+CO<=>OH+CO2, 0.000000e+00
HO2+CH2O<=>HCO+H2O2, 0.000000e+00
C+O2<=>O+CO, 0.000000e+00
C+CH2<=>H+C2H, 0.000000e+00
C+CH3<=>H+C2H2, 0.000000e+00
CH+O2<=>O+HCO, 0.000000e+00
CH+H2<=>H+CH2, 2.357626e-05
CH+H2O<=>H+CH2O, 0.000000e+00
CH+CH2<=>H+C2H2, 0.000000e+00
CH+CH3<=>H+C2H3, 0.000000e+00
CH+CH4<=>H+C2H4, 0.000000e+00
CH+CO(+M)<=>HCCO(+M), 0.000000e+00
CH+CO2<=>HCO+CO, 0.000000e+00
CH+CH2O<=>H+CH2CO, 0.000000e+00
CH+HCCO<=>CO+C2H2, 0.000000e+00
CH2+O2=>OH+H+CO, 0.000000e+00
CH2+H2<=>H+CH3, 9.060277e-07
2CH2<=>H2+C2H2, 1.425568e-08
CH2+CH3<=>H+C2H4, 0.000000e+00
CH2+CH4<=>2CH3, 0.000000e+00
CH2+CO(+M)<=>CH2CO(+M), 0.000000e+00
CH2+HCCO<=>C2H3+CO, 0.000000e+00
CH2(S)+N2<=>CH2+N2, 0.000000e+00
CH2(S)+AR<=>CH2+AR, 0.000000e+00
CH2(S)+O2<=>H+OH+CO, 0.000000e+00
CH2(S)+O2<=>CO+H2O, 0.000000e+00
CH2(S)+H2<=>CH3+H, -1.017348e-05
CH2(S)+H2O(+M)<=>CH3OH(+M), 0.000000e+00
CH2(S)+H2O<=>CH2+H2O, 0.000000e+00
CH2(S)+CH3<=>H+C2H4, 0.000000e+00
CH2(S)+CH4<=>2CH3, 0.000000e+00
CH2(S)+CO<=>CH2+CO, 0.000000e+00
CH2(S)+CO2<=>CH2+CO2, 0.000000e+00
CH2(S)+CO2<=>CO+CH2O, 0.000000e+00
CH2(S)+C2H6<=>CH3+C2H5, 0.000000e+00
CH3+O2<=>O+CH3O, 0.000000e+00
CH3+O2<=>OH+CH2O, 0.000000e+00
CH3+H2O2<=>HO2+CH4, 0.000000e+00
2CH3(+M)<=>C2H6(+M), 0.000000e+00
2CH3<=>H+C2H5, 0.000000e+00
CH3+HCO<=>CH4+CO, 0.000000e+00
CH3+CH2O<=>HCO+CH4, 0.000000e+00
CH3+CH3OH<=>CH2OH+CH4, 0.000000e+00
CH3+CH3OH<=>CH3O+CH4, 0.000000e+00
CH3+C2H4<=>C2H3+CH4, 0.000000e+00
CH3+C2H6<=>C2H5+CH4, 0.000000e+00
HCO+H2O<=>H+CO+H2O, 0.000000e+00
HCO+M<=>H+CO+M, 0.000000e+00
HCO+O2<=>HO2+CO, 0.000000e+00
CH2OH+O2<=>HO2+CH2O, 0.000000e+00
CH3O+O2<=>HO2+CH2O, 0.000000e+00
C2H+O2<=>HCO+CO, 0.000000e+00
C2H+H2<=>H+C2H2, -1.414170e-08
C2H3+O2<=>HCO+CH2O, 0.000000e+00
C2H4(+M)<=>H2+C2H2(+M), 3.081153e-10
C2H5+O2<=>HO2+C2H4, 0.000000e+00
HCCO+O2<=>OH+2CO, 0.000000e+00
2HCCO<=>2CO+C2H2, 0.000000e+00
N+NO<=>N2+O, 0.000000e+00
N+O2<=>NO+O, 0.000000e+00
N+OH<=>NO+H, 0.000000e+00
N2O+O<=>N2+O2, 0.000000e+00
N2O+O<=>2NO, 0.000000e+00
N2O+H<=>N2+OH, 0.000000e+00
N2O+OH<=>N2+HO2, 0.000000e+00
N2O(+M)<=>N2+O(+M), 0.000000e+00
HO2+NO<=>NO2+OH, 0.000000e+00
NO+O+M<=>NO2+M, 0.000000e+00
NO2+O<=>NO+O2, 0.000000e+00
NO2+H<=>NO+OH, 0.000000e+00
NH+O<=>NO+H, 0.000000e+00
NH+H<=>N+H2, 6.525210e-09
NH+OH<=>HNO+H, 0.000000e+00
NH+OH<=>N+H2O, 0.000000e+00
NH+O2<=>HNO+O, 0.000000e+00
NH+O2<=>NO+OH, 0.000000e+00
NH+N<=>N2+H, 0.000000e+00
NH+H2O<=>HNO+H2, 2.712365e-09
NH+NO<=>N2+OH, 0.000000e+00
NH+NO<=>N2O+H, 0.000000e+00
NH2+O<=>OH+NH, 0.000000e+00
NH2+O<=>H+HNO, 0.000000e+00
NH2+H<=>NH+H2, 4.992529e-09
NH2+OH<=>NH+H2O, 0.000000e+00
NNH<=>N2+H, 0.000000e+00
NNH+M<=>N2+H+M, 0.000000e+00
NNH+O2<=>HO2+N2, 0.000000e+00
NNH+O<=>OH+N2, 0.000000e+00
NNH+O<=>NH+NO, 0.000000e+00
NNH+H<=>H2+N2, 6.415716e-10
NNH+OH<=>H2O+N2, 0.000000e+00
NNH+CH3<=>CH4+N2, 0.000000e+00
H+NO+M<=>HNO+M, 0.000000e+00
HNO+O<=>NO+OH, 0.000000e+00
HNO+H<=>H2+NO, 1.720858e-08
HNO+OH<=>NO+H2O, 0.000000e+00
HNO+O2<=>HO2+NO, 0.000000e+00
CN+O<=>CO+N, 0.000000e+00
CN+OH<=>NCO+H, 0.000000e+00
CN+H2O<=>HCN+OH, 0.000000e+00
CN+O2<=>NCO+O, 0.000000e+00
CN+H2<=>HCN+H, 1.673369e-10
NCO+O<=>NO+CO, 0.000000e+00
NCO+H<=>NH+CO, 0.000000e+00
NCO+OH<=>NO+H+CO, 0.000000e+00
NCO+N<=>N2+CO, 0.000000e+00
NCO+O2<=>NO+CO2, 0.000000e+00
NCO+M<=>N+CO+M, 0.000000e+00
NCO+NO<=>N2O+CO, 0.000000e+00
NCO+NO<=>N2+CO2, 0.000000e+00
HCN+M<=>H+CN+M, 0.000000e+00
HCN+O<=>NCO+H, 0.000000e+00
HCN+O<=>NH+CO, 0.000000e+00
HCN+O<=>CN+OH, 0.000000e+00
HCN+OH<=>HOCN+H, 0.000000e+00
HCN+OH<=>HNCO+H, 0.000000e+00
HCN+OH<=>NH2+CO, 0.000000e+00
H+HCN(+M)<=>H2CN(+M), 0.000000e+00
H2CN+N<=>N2+CH2, 0.000000e+00
C+N2<=>CN+N, 0.000000e+00
CH+N2<=>HCN+N, 0.000000e+00
CH+N2(+M)<=>HCNN(+M), 0.000000e+00
CH2+N2<=>HCN+NH, 0.000000e+00
CH2(S)+N2<=>NH+HCN, 0.000000e+00
C+NO<=>CN+O, 0.000000e+00
C+NO<=>CO+N, 0.000000e+00
CH+NO<=>HCN+O, 0.000000e+00
CH+NO<=>H+NCO, 0.000000e+00
CH+NO<=>N+HCO, 0.000000e+00
CH2+NO<=>H+HNCO, 0.000000e+00
CH2+NO<=>OH+HCN, 0.000000e+00
CH2+NO<=>H+HCNO, 0.000000e+00
CH2(S)+NO<=>H+HNCO, 0.000000e+00
CH2(S)+NO<=>OH+HCN, 0.000000e+00
CH2(S)+NO<=>H+HCNO, 0.000000e+00
CH3+NO<=>HCN+H2O, 0.000000e+00
CH3+NO<=>H2CN+OH, 0.000000e+00
HCNN+O<=>CO+H+N2, 0.000000e+00
HCNN+O<=>HCN+NO, 0.000000e+00
HCNN+O2<=>O+HCO+N2, 0.000000e+00
HCNN+OH<=>H+HCO+N2, 0.000000e+00
HCNN+H<=>CH2+N2, 0.000000e+00
HNCO+O<=>NH+CO2, 0.000000e+00
HNCO+O<=>HNO+CO, 0.000000e+00
HNCO+O<=>NCO+OH, 0.000000e+00
HNCO+H<=>NH2+CO, 0.000000e+00
HNCO+H<=>H2+NCO, -1.061254e-09
HNCO+OH<=>NCO+H2O, 0.000000e+00
HNCO+OH<=>NH2+CO2, 0.000000e+00
HNCO+M<=>NH+CO+M, 0.000000e+00
HCNO+H<=>H+HNCO, 0.000000e+00
HCNO+H<=>OH+HCN, 0.000000e+00
HCNO+H<=>NH2+CO, 0.000000e+00
HOCN+H<=>H+HNCO, 0.000000e+00
HCCO+NO<=>HCNO+CO, 0.000000e+00
CH3+N<=>H2CN+H, 0.000000e+00
CH3+N<=>HCN+H2, 8.908020e-10
NH3+H<=>NH2+H2, -3.928344e-09
NH3+OH<=>NH2+H2O, 0.000000e+00
NH3+O<=>NH2+OH, 0.000000e+00
NH+CO2<=>HNO+CO, 0.000000e+00
CN+NO2<=>NCO+NO, 0.000000e+00
NCO+NO2<=>N2O+CO2, 0.000000e+00
N+CO2<=>NO+CO, 0.000000e+00
O+CH3=>H+H2+CO, 2.508609e-04
O+C2H4<=>H+CH2CHO, 0.000000e+00
O+C2H5<=>H+CH3CHO, 0.000000e+00
OH+HO2<=>O2+H2O, 0.000000e+00
OH+CH3=>H2+CH2O, 1.138520e-05
CH+H2(+M)<=>CH3(+M), -3.146454e-08
CH2+O2=>2H+CO2, 0.000000e+00
CH2+O2<=>O+CH2O, 0.000000e+00
CH2+CH2=>2H+C2H2, 0.000000e+00
CH2(S)+H2O=>H2+CH2O, 1.584399e-06
C2H3+O2<=>O+CH2CHO, 0.000000e+00
C2H3+O2<=>HO2+C2H2, 0.000000e+00
O+CH3CHO<=>OH+CH2CHO, 0.000000e+00
O+CH3CHO=>OH+CH3+CO, 0.000000e+00
O2+CH3CHO=>HO2+CH3+CO, 0.000000e+00
H+CH3CHO<=>CH2CHO+H2, 3.769198e-06
H+CH3CHO=>CH3+H2+CO, 3.813329e-06
OH+CH3CHO=>CH3+H2O+CO, 0.000000e+00
HO2+CH3CHO=>CH3+H2O2+CO, 0.000000e+00
CH3+CH3CHO=>CH3+CH4+CO, 0.000000e+00
H+CH2CO(+M)<=>CH2CHO(+M), 0.000000e+00
O+CH2CHO=>H+CH2+CO2, 0.000000e+00
O2+CH2CHO=>OH+CO+CH2O, 0.000000e+00
O2+CH2CHO=>OH+2HCO, 0.000000e+00
H+CH2CHO<=>CH3+HCO, 0.000000e+00
H+CH2CHO<=>CH2CO+H2, 6.234303e-07
OH+CH2CHO<=>H2O+CH2CO, 0.000000e+00
OH+CH2CHO<=>HCO+CH2OH, 0.000000e+00
CH3+C2H5(+M)<=>C3H8(+M), 0.000000e+00
O+C3H8<=>OH+C3H7, 0.000000e+00
H+C3H8<=>C3H7+H2, 3.942353e-06
OH+C3H8<=>C3H7+H2O, 0.000000e+00
C3H7+H2O2<=>HO2+C3H8, 0.000000e+00
CH3+C3H8<=>C3H7+CH4, 0.000000e+00
CH3+C2H4(+M)<=>C3H7(+M), 0.000000e+00
O+C3H7<=>C2H5+CH2O, 0.000000e+00
H+C3H7(+M)<=>C3H8(+M), 0.000000e+00
H+C3H7<=>CH3+C2H5, 0.000000e+00
OH+C3H7<=>C2H5+CH2OH, 0.000000e+00
HO2+C3H7<=>O2+C3H8, 0.000000e+00
HO2+C3H7=>OH+C2H5+CH2O, 0.000000e+00
CH3+C3H7<=>2C2H5, 0.000000e+00
